"lemma","poscode","surface"
"Acura","3","Acura"
"AM General","3","AM General"
"Audi","3","Audi"
"BMW","3","BMW"
"Buick","3","Buick"
"Cadillac","3","Cadillac"
"Chevrolet","3","Chevrolet"
"Chrysler","3","Chrysler"
"Dodge","3","Dodge"
"Eagle","3","Eagle"
"Fiat","3","Fiat"
"Ford","3","Ford"
"Freightliner","3","Freightliner"
"White","3","White"
"GM","3","GM"
"GMC","3","GMC"
"Honda","3","Honda"
"Hyundai","3","Hyundai"
"Infiniti","3","Infiniti"
"International Harvester","3","International Harvester"
"Navistar","3","Navistar"
"Isuzu","3","Isuzu"
"Jaguar","3","Jaguar"
"Jeep","3","Jeep"
"Kaiser-Jeep","3","Kaiser-Jeep"
"Kia","3","Kia"
"Land Rover","3","Land Rover"
"Lexus","3","Lexus"
"Lincoln","3","Lincoln"
"Mack","3","Mack"
"Mazda","3","Mazda"
"Mercedes-Benz","3","Mercedes-Benz","Mercedes Benz","Mercedes"
"Mercury","3","Mercury"
"Mini","3","Mini"
"Mitsubishi","3","Mitsubishi"
"Nissan","3","Nissan"
"Datsun","3","Datsun"
"Oldsmobile","3","Oldsmobile"
"Other Domestic Manufacturer","3","Other Domestic Manufacturer"
"Plymouth","3","Plymouth"
"Pontiac","3","Pontiac"
"Porsche","3","Porsche"
"Saab","3","Saab"
"Saturn","3","Saturn"
"Scion","3","Scion"
"Smart","3","Smart"
"Subaru","3","Subaru"
"Suzuki","3","Suzuki"
"Tesla","3","Tesla"
"Toyota","3","Toyota"
"Volkswagen","3","Volkswagen"
"Volvo","3","Volvo"
