"lemma","poscode","surface"
"190","3","190"
"200 cd","3","200 cd"
"200 d","3","200 d"
"200 sd","3","200 sd"
"200 se","3","200 se"
"200 sx","3","200 sx"
"220 cd","3","220 cd"
"220 d","3","220 d"
"220 sd","3","220 sd"
"220 se","3","220 se"
"230 cd","3","230 cd"
"230 d","3","230 d"
"230 sd","3","230 sd"
"230 se","3","230 se"
"240 cd","3","240 cd"
"240 d","3","240 d"
"240 sd","3","240 sd"
"240 se","3","240 se"
"240 sx","3","240 sx"
"250 cd","3","250 cd"
"250 d","3","250 d"
"250 sd","3","250 sd"
"250 se","3","250 se"
"260 cd","3","260 cd"
"260 d","3","260 d"
"260 sd","3","260 sd"
"260 se","3","260 se"
"280 cd","3","280 cd"
"280 d","3","280 d"
"280 sd","3","280 sd"
"280 se","3","280 se"
"3 series","3","3 series"
"300 cd","3","300 cd"
"300 d","3","300 d"
"300 sd","3","300 sd"
"300 se","3","300 se"
"300","3","300"
"300c","3","300c"
"300m","3","300m"
"300s","3","300s"
"320 cd","3","320 cd"
"320 d","3","320 d"
"320 sd","3","320 sd"
"320 se","3","320 se"
"323","3","323"
"350 slc","3","350 slc"
"350","3","350"
"380 slc","3","380 slc"
"380","3","380"
"420 slc","3","420 slc"
"450 slc","3","450 slc"
"450","3","450"
"4-runner","3","4-runner"
"5 series","3","5 series"
"500","3","500"
"500c","3","500c"
"500sl","3","500sl"
"560 slc","3","560 slc"
"560sl","3","560sl"
"6 series","3","6 series"
"60 series","3","60 series"
"626","3","626"
"7 series","3","7 series"
"70 series","3","70 series"
"80 series","3","80 series"
"810","3","810"
"9 - 3","3","9 - 3"
"9 - 5","3","9 - 5"
"986 boxster","3","986 boxster"
"a4","3","a4"
"acadia","3","acadia"
"accent","3","accent"
"accord","3","accord"
"advantage","3","advantage"
"aerostar","3","aerostar"
"alero","3","alero"
"altima","3","altima"
"ascender","3","ascender"
"aspen","3","aspen"
"aura","3","aura"
"avalanche","3","avalanche"
"avalon","3","avalon"
"avenger","3","avenger"
"aveo","3","aveo"
"aviator","3","aviator"
"azera","3","azera"
"b9 tribeca","3","b9 tribeca"
"beetle 1300","3","beetle 1300"
"beetle 1500","3","beetle 1500"
"beretta","3","beretta"
"blazer","3","blazer"
"bonneville","3","bonneville"
"bravada","3","bravada"
"breeze","3","breeze"
"bronco ii","3","bronco ii"
"bronco","3","bronco"
"bronco-fullsize","3","bronco-fullsize"
"b-series","3","b-series"
"c class","3","c class"
"caliber","3","caliber"
"camaro","3","camaro"
"camry","3","camry"
"caprice","3","caprice"
"caravan","3","caravan"
"catalina","3","catalina"
"catera","3","catera"
"cavalier","3","cavalier"
"cayenne","3","cayenne"
"cbe","3","cbe"
"celica","3","celica"
"centurion","3","centurion"
"century","3","century"
"charger","3","charger"
"cherokee","3","cherokee"
"cirrus","3","cirrus"
"civic","3","civic"
"clk","3","clk"
