"lemma","poscode","surface"
"vehicle","3","vehicle"
"vehicles","3","vehicles"
"ambulance","3","ambulance"
"bus","3","bus"
"car","3","car"
"convertible","3","convertible"
"coupe","3","coupe"
"minivan","3","minivan"
"pickup","3","pickup"
"pickup truck","3","pickup truck"
"school bus","3","school bus"
"station wagon","3","station wagon"
"SUV","3","SUV"
"trailer","3","trailer"
"truck","3","truck"
"van","3","van"
"v1","3","v1"
"v#1","3","v#1"
"vehicle 1","3","vehicle 1"
"vehicle #1","3","vehicle #1"
"vehicle one","3","vehicle one"
"v2","3","v2"
"v#2","3","v#2"
"vehicle 2","3","vehicle 2"
"vehicle #2","3","vehicle #2"
"vehicle two","3","vehicle two"
"v3","3","v3"
"v#3","3","v#3"
"vehicle 3","3","vehicle 3"
"vehicle #3","3","vehicle #3"
"vehicle three","3","vehicle three"
"v4","4","v4"
"v#4","4","v#4"
"vehicle 4","4","vehicle 4"
"vehicle #4","4","vehicle #4"
"vehicle four","4","vehicle four"
"v5","3","v5"
"v#5","3","v#5"
"vehicle 5","3","vehicle 5"
"vehicle #5","3","vehicle #5"
"vehicle five","3","vehicle five"
"v6","3","v6"
"v#6","3","v#6"
"vehicle 6","3","vehicle 6"
"vehicle #6","3","vehicle #6"
"vehicle six","3","vehicle six"
"v7","3","v7"
"v#7","3","v#7"
"vehicle 7","3","vehicle 7"
"vehicle #7","3","vehicle #7"
"vehicle seven","3","vehicle seven"
"v8","3","v8"
"v#8","3","v#8"
"vehicle 8","3","vehicle 8"
"vehicle #8","3","vehicle #8"
"vehicle eight","3","vehicle eight"
"v9","3","v9"
"v#9","3","v#9"
"vehicle 9","3","vehicle 9"
"vehicle #9","3","vehicle #9"
"vehicle nine","3","vehicle nine"
